Project,Latitude,Longitude,WTG_Model,Hub_Height
Cypress,49.871339,-110.371218,SG 5.2-145,90
Cypress,49.865215,-110.370562,SG 5.2-145,90
Cypress,49.865161,-110.406084,SG 5.2-145,90
Cypress,49.863224,-110.385846,SG 5.2-145,90
Cypress,49.859687,-110.372059,SG 5.2-145,90
Cypress,49.857891,-110.358392,SG 5.2-145,90
Cypress,49.854211,-110.353078,SG 5.2-145,90
Cypress,49.852408,-110.347479,SG 5.2-145,90
Cypress,49.846746,-110.348202,SG 5.2-145,90
Cypress,49.840514,-110.358580,SG 5.2-145,90
Cypress,49.831739,-110.363281,SG 5.2-145,90
Cypress,49.837944,-110.352006,SG 5.2-145,90
Cypress,49.861196,-110.430737,SG 5.2-145,90
Cypress,49.855839,-110.427280,SG 5.2-145,90
Cypress,49.853231,-110.438818,SG 5.2-145,90
Cypress,49.848619,-110.429337,SG 5.2-145,90
Cypress,49.842333,-110.407047,SG 5.2-145,90
Cypress,49.849270,-110.448140,SG 5.2-145,90
Cypress,49.847577,-110.439172,SG 5.2-145,90
Cypress,49.835052,-110.421180,SG 5.2-145,90
Cypress,49.825260,-110.373333,SG 5.2-145,90
Cypress,49.823994,-110.357521,SG 5.2-145,90
Cypress,49.832335,-110.351936,SG 5.2-145,90
Cypress,49.817827,-110.396224,SG 5.0-145,90
Cypress,49.817373,-110.385549,SG 5.0-145,90
Cypress,49.818961,-110.372423,SG 5.2-145,90
Cypress,49.871338,-110.408500,SG 5.2-145,90
Cypress,49.811751,-110.385561,SG 5.0-145,90
Cypress,49.813058,-110.373732,SG 5.2-145,90
Cypress,49.818421,-110.359170,SG 5.2-145,90
Cypress,49.861618,-110.415608,SG 5.2-145,90
Cypress,49.857999,-110.441041,SG 5.2-145,90
Cypress,49.806112,-110.385594,SG 5.0-145,90
Cypress,49.808596,-110.369075,SG 5.2-145,90
Cypress,49.811667,-110.358282,SG 5.2-145,90
Cypress,49.810557,-110.349156,SG 5.2-145,90
Cypress,49.801360,-110.382509,SG 5.0-145,90
Cypress,49.803020,-110.370585,SG 5.0-145,90
Cypress,49.802044,-110.361020,SG 5.2-145,90
Cypress,49.842379,-110.430262,SG 5.2-145,90
Cypress,49.841903,-110.440829,SG 5.2-145,90
Cypress,49.830690,-110.436917,SG 5.2-145,90
Cypress,49.833033,-110.446820,SG 5.2-145,90
Cypress,49.809029,-110.395380,SG 5.2-145,90
Cypress,49.794803,-110.391439,SG 5.2-145,90
Cypress,49.795208,-110.381693,SG 5.2-145,90
Cypress,49.794115,-110.373895,SG 5.2-145,90
Cypress,49.791334,-110.369039,SG 5.2-145,90
Wild Rose 2,49.828095,-110.612109,SG 5.0-145,95.5
Wild Rose 2,49.823576,-110.610741,SG 5.0-145,95.5
Wild Rose 2,49.820481,-110.605358,SG 5.0-145,95.5
Wild Rose 2,49.839122,-110.566363,SG 5.0-145,95.5
Wild Rose 2,49.832901,-110.562359,SG 5.0-145,95.5
Wild Rose 2,49.825187,-110.553711,SG 5.0-145,95.5
Wild Rose 2,49.819786,-110.550327,SG 5.0-145,95.5
Wild Rose 2,49.798640,-110.579023,SG 5.0-145,95.5
Wild Rose 2,49.806968,-110.534213,SG 5.0-145,95.5
Wild Rose 2,49.802742,-110.529973,SG 5.0-145,95.5
Wild Rose 2,49.799121,-110.522060,SG 5.0-145,95.5
Wild Rose 2,49.796843,-110.515135,SG 5.0-145,95.5
Wild Rose 2,49.794316,-110.506629,SG 5.0-145,95.5
Wild Rose 2,49.813137,-110.520560,SG 5.0-145,95.5
Wild Rose 2,49.809380,-110.514773,SG 5.0-145,95.5
Wild Rose 2,49.806832,-110.505529,SG 5.0-145,95.5
Wild Rose 2,49.788057,-110.494356,SG 5.0-145,95.5
Wild Rose 2,49.783538,-110.493431,SG 5.0-145,95.5
Wild Rose 2,49.774344,-110.495040,SG 5.0-145,95.5
Wild Rose 2,49.770640,-110.491538,SG 5.0-145,95.5
Wild Rose 2,49.769970,-110.482393,SG 5.0-145,95.5
Wild Rose 2,49.768573,-110.506321,SG 5.0-145,95.5
Wild Rose 2,49.763291,-110.497405,SG 5.0-145,95.5
Wild Rose 2,49.760981,-110.481433,SG 5.0-145,95.5
Wild Rose 2,49.763020,-110.507599,SG 5.0-145,95.5
Wild Rose 2,49.757923,-110.508401,SG 5.0-145,95.5
Wild Rose 2,49.751868,-110.485306,SG 5.0-145,95.5
Wild Rose 2,49.747867,-110.481448,SG 5.0-145,95.5
Wild Rose 2,49.741385,-110.488221,SG 5.0-145,95.5
Wild Rose 2,49.738461,-110.484144,SG 5.0-145,95.5
Wild Rose 2,49.803733,-110.635219,SG 5.0-145,95.5
Wild Rose 2,49.796866,-110.631241,SG 5.0-145,95.5
Wild Rose 2,49.792186,-110.572674,SG 5.0-145,95.5
Wild Rose 2,49.787234,-110.571189,SG 5.0-145,95.5
Wild Rose 2,49.758851,-110.494229,SG 5.0-145,95.5
Wild Rose 2,49.799512,-110.543108,SG 5.0-145,95.5
Wild Rose 2,49.810293,-110.540019,SG 5.0-145,95.5
Wild Rose 2,49.813521,-110.549120,SG 5.0-145,95.5
Wild Rose 2,49.816736,-110.531951,SG 5.0-145,95.5
Wild Rose 2,49.772774,-110.506417,SG 5.0-145,95.5
