Project,Latitude,Longitude,WTG_Model,Hub_Height
Livingston,40.944307,-88.297624,GE 3.4-140,81
Livingston,40.909060,-88.312282,GE 3.4-140,81
Livingston,40.902195,-88.297179,GE 3.4-140,81
Livingston,40.882471,-88.332703,GE 3.4-140,81
Livingston,40.866333,-88.314687,GE 3.4-140,81
Livingston,41.028349,-88.275196,GE 3.4-140,81
Livingston,41.013766,-88.275371,GE 3.4-140,81
Livingston,40.971351,-88.287343,GE 3.4-140,81
Livingston,40.925236,-88.269043,GE 3.4-140,81
Livingston,40.882570,-88.323413,GE 3.4-140,81
Livingston,40.901666,-88.285882,GE 3.4-140,81
Livingston,40.890474,-88.303464,GE 3.4-140,81
Livingston,40.893947,-88.326079,GE 3.4-140,81
Livingston,40.909068,-88.278824,GE 3.4-140,81
Livingston,40.916598,-88.266221,GE 3.4-140,81
Livingston,40.904503,-88.345196,GE 3.4-140,81
Livingston,40.912157,-88.336179,GE 3.4-140,81
Livingston,40.919378,-88.314566,GE 3.4-140,81
Livingston,40.957873,-88.343844,GE 3.4-140,81
Livingston,40.919803,-88.285562,GE 3.4-140,81
Livingston,40.880762,-88.312698,GE 3.4-140,81
Livingston,41.020875,-88.269678,GE 3.4-140,81
Livingston,40.933535,-88.306021,GE 3.4-140,81
Livingston,40.919267,-88.295653,GE 3.4-140,81
Livingston,40.944348,-88.354371,GE 3.4-140,81
Livingston,40.953548,-88.311825,GE 3.4-140,81
Livingston,40.945687,-88.275764,GE 3.4-140,81
Livingston,40.941602,-88.270910,GE 3.4-140,81
Livingston,40.930451,-88.296286,GE 3.4-140,81
Livingston,40.931196,-88.276577,GE 3.4-140,81
Livingston,40.915253,-88.329372,GE 3.4-140,81
Livingston,40.955258,-88.353090,GE 3.4-140,81
Livingston,40.968309,-88.335239,GE 3.4-140,81
Livingston,40.945350,-88.328014,GE 3.4-140,81
Livingston,40.961785,-88.319219,GE 3.4-140,81
Livingston,40.955289,-88.306027,GE 3.4-140,81
Livingston,40.958469,-88.291659,GE 3.4-140,81
Livingston,40.955813,-88.277585,GE 3.4-140,81
Livingston,40.889120,-88.311831,GE 3.4-140,81
Livingston,41.035750,-88.265141,GE 3.4-140,81
Livingston,40.987230,-88.336799,GE 3.4-140,81
Livingston,41.000019,-88.321540,GE 3.4-140,81
Livingston,40.988431,-88.311859,GE 3.4-140,81
Livingston,40.989883,-88.301783,GE 3.4-140,81
Livingston,40.988653,-88.291059,GE 3.4-140,81
Livingston,40.889627,-88.342762,GE 3.4-140,81
Livingston,40.925738,-88.318338,GE 3.4-140,81
Livingston,41.003554,-88.340352,GE 3.4-140,81
Livingston,41.002276,-88.331415,GE 3.4-140,81
Livingston,40.989646,-88.282757,GE 3.4-140,81
Livingston,40.999815,-88.283079,GE 3.4-140,81
Livingston,41.005108,-88.269382,GE 3.4-140,81
Livingston,40.970293,-88.261835,GE 3.4-140,81
Livingston,40.970155,-88.320223,GE 3.4-140,81
Livingston,40.888230,-88.349875,GE 3.4-140,81
Livingston,40.994895,-88.366093,GE 3.4-140,81
Livingston,40.918605,-88.346541,GE 3.4-140,81
Livingston,40.903902,-88.270223,GE 3.4-140,81
Livingston,40.929908,-88.347227,GE 3.4-140,81
Livingston,40.853268,-88.349442,GE 3.4-140,81
Livingston,40.856352,-88.344243,GE 3.4-140,81
Livingston,40.873911,-88.346943,GE 3.4-140,81
Livingston,40.867439,-88.344945,GE 3.4-140,81
Livingston,40.853349,-88.291160,GE 3.4-140,81
Livingston,40.937952,-88.349564,GE 3.4-140,81
Livingston,40.873107,-88.308443,GE 3.4-140,81
Livingston,40.988200,-88.330875,GE 3.4-140,81
Livingston,41.003691,-88.275301,GE 3.4-140,81
Livingston,40.948135,-88.289446,GE 3.4-140,81
Livingston,40.959324,-88.334739,GE 3.4-140,81
Livingston,40.944800,-88.336192,GE 3.4-140,81
Livingston,40.977519,-88.300937,GE 3.4-140,81
Livingston,40.983737,-88.365852,GE 3.4-140,81
Livingston,40.867172,-88.293778,GE 3.4-140,81
Livingston,40.897626,-88.279903,GE 3.4-140,81
Livingston,40.849993,-88.325139,GE 3.4-140,81
Livingston,40.976496,-88.254379,GE 3.4-140,81
Livingston,40.853798,-88.307173,GE 3.4-140,81
Livingston,41.028137,-88.258951,GE 3.4-140,81
Livingston,40.966595,-88.309786,GE 3.4-140,81
Livingston,40.975148,-88.311103,GE 3.4-140,81
Bennington,40.927911,-89.063411,GE 2.82-127,89
Bennington,40.927106,-89.071194,GE 2.82-127,89
Bennington,40.932342,-89.063844,GE 2.82-127,89
Bennington,40.930386,-89.080758,GE 2.82-127,89
Bennington,40.936256,-89.084864,GE 2.82-127,89
Bennington,40.943247,-89.075667,GE 2.82-127,89
Bennington,40.945419,-89.059311,GE 2.82-127,89
Bennington,40.951172,-89.059253,GE 2.82-127,89
Bennington,40.948947,-89.071456,GE 2.82-127,89
Bennington,40.952611,-89.075236,GE 2.82-127,89
Bennington,40.947467,-89.100725,GE 2.82-127,89
Bennington,40.949586,-89.106381,GE 2.82-127,89
Bennington,40.949506,-89.112028,GE 2.82-127,89
Bennington,40.951489,-89.117214,GE 2.82-127,89
Bennington,40.953992,-89.123211,GE 2.82-127,89
Bennington,40.962164,-89.112222,GE 2.82-127,89
Bennington,40.972367,-89.059175,GE 2.82-127,89
Bennington,40.976136,-89.061153,GE 2.82-127,89
Bennington,40.979511,-89.070311,GE 2.82-127,89
Bennington,40.980097,-89.080956,GE 2.82-127,89
Bennington,40.975808,-89.089178,GE 2.82-127,89
Bennington,40.974461,-89.0944,GE 2.82-127,89
Bennington,40.9892,-89.074033,GE 2.82-127,89
Bennington,40.990225,-89.067969,GE 2.82-127,89
Bennington,40.992492,-89.059225,GE 2.82-127,89
Bennington,40.996794,-89.065319,GE 2.82-127,89
Bennington,40.994894,-89.073194,GE 2.82-127,89
Bennington,40.994058,-89.084778,GE 2.82-127,89
Bennington,40.947153,-89.079939,GE 2.82-127,89
Bennington,40.979528,-89.064819,GE 2.82-127,89
Bennington,40.974975,-89.079969,GE 2.82-127,89
Bennington,40.970994,-89.077689,GE 2.82-127,89
Bennington,40.992864,-89.079956,GE 2.82-127,89
Ford Ridge,40.553286,-88.411047,GE 2.8-127,89
Ford Ridge,40.6117,-88.362558,GE 2.8-127,89
Ford Ridge,40.606967,-88.355675,GE 2.8-127,89
Ford Ridge,40.608303,-88.345039,GE 2.8-127,89
Ford Ridge,40.598158,-88.3559,GE 2.8-127,89
Ford Ridge,40.593908,-88.350872,GE 2.8-127,89
Ford Ridge,40.594167,-88.325492,GE 2.8-127,89
Ford Ridge,40.590286,-88.352756,GE 2.8-127,89
Ford Ridge,40.584058,-88.324142,GE 2.8-127,89
Ford Ridge,40.583247,-88.315761,GE 2.8-127,89
Ford Ridge,40.577856,-88.353117,GE 2.8-127,89
Ford Ridge,40.571461,-88.376431,GE 2.8-127,89
Ford Ridge,40.571783,-88.371742,GE 2.8-127,89
Ford Ridge,40.571861,-88.350117,GE 2.8-127,89
Ford Ridge,40.568461,-88.331039,GE 2.8-127,89
Ford Ridge,40.568275,-88.321442,GE 2.8-127,89
Ford Ridge,40.566803,-88.374658,GE 2.8-127,89
Ford Ridge,40.565111,-88.357819,GE 2.8-127,89
Ford Ridge,40.567972,-88.35335,GE 2.8-127,89
Ford Ridge,40.564636,-88.349156,GE 2.8-127,89
Ford Ridge,40.562783,-88.330986,GE 2.8-127,89
Ford Ridge,40.557275,-88.408214,GE 2.8-127,89
Ford Ridge,40.548631,-88.40205,GE 2.8-127,89
Ford Ridge,40.544961,-88.399114,GE 2.8-127,89
Ford Ridge,40.552408,-88.396833,GE 2.8-127,89
Ford Ridge,40.553794,-88.388083,GE 2.8-127,89
Ford Ridge,40.555658,-88.382644,GE 2.8-127,89
Ford Ridge,40.548892,-88.378178,GE 2.8-127,89
Ford Ridge,40.546572,-88.358758,GE 2.8-127,89
Ford Ridge,40.550853,-88.353467,GE 2.8-127,89
Ford Ridge,40.544961,-88.350597,GE 2.8-127,89
Ford Ridge,40.55,-88.3365,GE 2.8-127,89
Ford Ridge,40.546142,-88.3365,GE 2.8-127,89
Ford Ridge,40.546958,-88.331219,GE 2.8-127,89
Ford Ridge,40.546222,-88.322208,GE 2.8-127,89
Ford Ridge,40.534875,-88.370042,GE 2.8-127,89
Ford Ridge,40.533336,-88.359331,GE 2.8-127,89
Ford Ridge,40.539247,-88.351775,GE 2.8-127,89
Ford Ridge,40.534361,-88.336006,GE 2.8-127,89
Ford Ridge,40.52445,-88.373353,GE 2.8-127,89
Ford Ridge,40.525731,-88.333719,GE 2.8-127,89
Ford Ridge,40.517078,-88.336189,GE 2.8-127,89
Ford Ridge,40.510308,-88.312233,GE 2.8-127,89
