55
172. 285. 0.13 21.5
3	0.817	108
3.5	0.815	400
4	0.813	805
4.5	0.812	1333
5	0.809	1978
5.5	0.807	2745
6	0.804	3649
6.5	0.803	4724
7	0.801	5988
7.5	0.797	7430
8	0.793	9068
8.5	0.787	10903
9	0.78	12930
9.5	0.773	15065
10	0.751	17282
10.5	0.688	19200
11	0.613	20550
11.5	0.524	21200
12	0.445	21450
12.5	0.383	21500
13	0.335	21500
13.5	0.296	21500
14	0.263	21500
14.5	0.235	21500
15	0.211	21500
15.5	0.191	21500
16	0.173	21500
16.5	0.158	21500
17	0.144	21500
17.5	0.133	21500
18	0.122	21500
18.5	0.113	21500
19	0.104	21500
19.5	0.097	21500
20	0.09	21500
20.5	0.084	21500
21	0.078	21500
21.5	0.073	21500
22	0.069	21500
22.5	0.064	21500
23	0.061	21500
23.5	0.057	21500
24	0.053	21400
24.5	0.047	20074
25	0.039	17581
25.5	0.033	15711
26	0.03	14872
26.5	0.028	14671
27	0.026	14619
27.5	0.025	14455
28	0.023	14185
28.5	0.022	13901
29	0.021	13709
29.5	0.02	13608
30	0.019	13569
